Unnamed: 0,Unnamed: 1,January,Unnamed: 3,Unnamed: 4,February,Unnamed: 6,Unnamed: 7,March,Unnamed: 9,Unnamed: 10,April,Unnamed: 12,Unnamed: 13,May,Unnamed: 15,Unnamed: 16,June,Unnamed: 18,Unnamed: 19,July,Unnamed: 21,Unnamed: 22,August,Unnamed: 24,Unnamed: 25,September,Unnamed: 27,Unnamed: 28,October,Unnamed: 30,Unnamed: 31,November,Unnamed: 33,Unnamed: 34,December,Unnamed: 36,Unnamed: 37,Unnamed: 38,Accumulate for Year 2024,Unnamed: 40,Unnamed: 41,Unnamed: 42
Region,Cabin,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,,Total kWh,Sales kWh,Losses,Consumer
BT-HQ,8,0,0,,0,0,,0,0,,0,0,,0,0,,0,4914,0,0,4517,0,0,6142,0,0,7450,0,0,11291,0,0,11100,0,0,9942,0,,0,55356,0,1
BT-HQ,9,1562,1561,0.000640204865556937,4741,4740,0.00021092596498628602,4648,4647,0.00021514629948360398,4156,4155,0.00024061597690083758,6887,6886,0.00014520110352833626,7069,7067,0.00028292544914410023,4141,4141,0,7269,7266,0.0004127115146512761,7710,7708,0.00025940337224383825,4960,4960,0,5418,5416,0.00036913990402365204,5753,5752,0.00017382235355467568,,64314,64299,0.00023323071182013155,1
BT-HQ,1,0,5844,0,0,6333,0,0,7103,0,0,8384,0,0,6711,0,0,7607,0,0,6353,0,0,6446,0,0,6659,0,0,6165,0,0,6378,0,0,5041,0,,0,79024,0,1
BT-HQ,10,147951,148013,0,133018,133078,0,81819,81871,0,171134,171252,0,197675,197797,0,118723,118801,0,141333,141423,0,2092,2096,0,47763,47799,0,37134,37167,0,1414,1417,0,48989,49025,0,,1129045,1129739,0,1
BT-HQ,11,3131,3130,0.0003193867773874093,3162,3161,0.0003162555344718987,4319,4318,0.00023153507756423775,5660,5659,0.00017667844522972764,5384,5379,0.000928677563150071,5589,5587,0.0003578457684737524,5991,5990,0.00016691704223004145,7158,7155,0.0004191114836546994,8435,8432,0.0003556609365737984,7892,7891,0.00012671059300561893,6888,6886,0.00029036004645766056,5541,5541,0,,69150,69129,0.00030368763557486744,1
BT-HQ,12,13490,13460,0.002223869532987366,11240,11220,0.001779359430605032,5660,5650,0.0017667844522968323,4840,4830,0.0020661157024793875,4790,4770,0.0041753653444676075,4030,4030,0,3870,3860,0.0025839793281653423,5800,5780,0.0034482758620689724,9570,9560,0.0010449320794148065,9800,9770,0.003061224489795955,9030,9010,0.0022148394241418012,9920,9910,0.0010080645161290036,,92040,91850,0.0020643198609300306,1
BT-HQ,13,34332,34327,0.00014563672375622616,27370,27368,7.3072707343802e-05,18207,18204,0.00016477179106932915,6836,6835,0.00014628437682850937,1400,1400,0,1344,1343,0.0007440476190476719,7108,7108,0,18241,18238,0.0001644646675073025,18102,18100,0.00011048502927857307,19593,19590,0.0001531159087428957,23310,23308,8.580008580005849e-05,14479,14478,6.906554320051939e-05,,190322,190299,0.00012084782631538449,1
BT-HQ,14,2009,2047,0,2195,2236,0,2370,2378,0,2262,2231,0.013704686118479192,2552,2584,0,2399,2438,0,2303,2337,0,2386,2421,0,2490,2525,0,2242,2277,0,2357,2397,0,2199,2231,0,,27764,28102,0,1
BT-HQ,15,3961,3956,0.0012623074981065185,3079,3075,0.0012991230919129348,6830,6823,0.0010248901903368024,7239,7233,0.0008288437629506706,8491,8483,0.0009421740666588629,8721,8712,0.0010319917440660964,8176,8170,0.0007338551859099596,7967,7961,0.0007531065645789425,5161,5155,0.001162565394303483,5203,5198,0.0009609840476647591,7021,7015,0.0008545791197834829,8455,8450,0.0005913660555884048,,80304,80231,0.0009090456266188651,1
BT-HQ,16,147516,147582,0,161321,161391,0,180502,180583,0,208807,208899,0,193904,193988,0,178742,178818,0,158268,158334,0,167421,167494,0,163363,163434,0,160366,160434,0,163452,163525,0,145984,146048,0,,2029646,2030530,0,1
BT-HQ,2,27297,18829,0.3102172399897425,30082,26835,0.10793830197460275,37087,31927,0.1391323105131178,43092,38085,0.11619326093010307,41927,35650,0.14971259570205353,44365,37676,0.150772004958864,35885,30758,0.1428730667409781,39543,33731,0.14697923779177102,39477,34311,0.13086100767535525,29524,25649,0.1312491532312695,29326,25904,0.11668826297483459,33752,25850,0.23411945958757996,,431357,365205,0.15335789149127055,9
