Unnamed: 0,Unnamed: 1,January,Unnamed: 3,Unnamed: 4,February,Unnamed: 6,Unnamed: 7,March,Unnamed: 9,Unnamed: 10,April,Unnamed: 12,Unnamed: 13,May,Unnamed: 15,Unnamed: 16,June,Unnamed: 18,Unnamed: 19,July,Unnamed: 21,Unnamed: 22,August,Unnamed: 24,Unnamed: 25,September,Unnamed: 27,Unnamed: 28,October,Unnamed: 30,Unnamed: 31,November,Unnamed: 33,Unnamed: 34,December,Unnamed: 36,Unnamed: 37,Unnamed: 38,Accumulate for Year 2024,Unnamed: 40,Unnamed: 41,Unnamed: 42
Region,Cabin,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,,Total kWh,Sales kWh,Losses,Consumer
KPS-HQ,-,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,0
KPS-HQ,1,0,31199,0,0,35990,0,0,39246,0,0,43764,0,0,52448,0,0,54165,0,0,48833,0,0,46247,0,823,47162,0,47820,46088,0.0362191551652028,47160,45363,0.038104325699745534,49680,50466,0,,145483,540971,0,164
KPS-HQ,2,0,14442,0,0,16218,0,0,15922,0,0,22082,0,0,22438,0,0,24919,0,0,19297,0,0,18008,0,18651,18966,0,32618,15044,0.5387822674596848,14716,14489,0.015425387333514506,14652,14515,0.009350259350259349,,80637,216340,0,40
KPS-HQ,3,0,47006,0,0,44482,0,0,49227,0,0,54570,0,0,59280,0,57394,54489,0.05061504686901075,51926,49545,0.04585371490197587,53565,50988,0.048109773172780756,54220,51783,0.04494651420140172,54542,52085,0.04504785303069192,49913,47522,0.04790335183218797,49836,47460,0.04767637852155071,,371396,608437,0,255
KPS-HQ,4,0,33662,0,0,33254,0,0,35253,0,0,42129,0,0,48947,0,0,45473,0,39481,38789,0.01752741825181736,37752,36972,0.02066115702479343,40393,39207,0.02936152303616968,37870,37795,0.001980459466596196,34753,34212,0.015567001409950265,36457,35883,0.015744575801629357,,226706,461576,0,137
KPS-HQ,5,0,41245,0,0,38569,0,0,44707,0,0,54282,0,0,58618,0,59654,53112,0.10966573909545041,0,45618,0,93107,40752,0.5623100303951367,50795,48684,0.04155920858352202,45283,43440,0.040699600291500104,41659,39900,0.04222376917352788,46252,44066,0.04726282106719715,,336750,552993,0,228
KPS-HQ,6,0,62630,0,0,60894,0,0,65084,0,0,73636,0,0,84522,0,102587,81434,0.20619571680622306,85191,67896,0.20301440292988693,72985,69071,0.053627457696787006,74424,72171,0.030272492744276014,72159,68278,0.05378400476725009,71179,64964,0.0873150788856264,62087,66915,0,,540612,837495,0,180
KPS-HQ,7,0,127311,0,0,130263,0,0,130084,0,0,158220,0,0,168601,0,167524,158869,0.051664239153792924,137104,129722,0.053842338662621114,133896,127509,0.047701200932066645,150808,143803,0.04644979046204445,137082,130437,0.04847463561955623,128711,122399,0.04904009758295713,135422,129174,0.046137259824843846,,990547,1656392,0,253
KPS-HQ,8,0,83887,0,0,89484,0,0,105423,0,0,115369,0,0,118013,0,129875,125378,0.03462560153994221,107708,103995,0.03447283395848033,107753,104249,0.032518816181452026,112954,109114,0.03399614002160167,107673,104238,0.031902148170850686,98377,94911,0.03523181231385386,100207,97290,0.029109742832337027,,764547,1251351,0,268
KPS-HQ,9,0,157686,0,0,159525,0,0,123315,0,0,140880,0,0,145114,0,0,142016,0,0,106759,0,100380,101320,0,113662,111144,0.02215340219246542,101648,98729,0.02871674799307411,100648,97075,0.035499960257531216,96838,96907,0,,513176,1480470,0,141
KPS-HQ,10,0,172219,0,0,183214,0,0,195301,0,0,210453,0,0,192216,0,213364,178719,0.1623750960799385,188100,156190,0.1696438064859117,173255,163063,0.05882658509133931,176782,166072,0.060583091038680426,174706,164974,0.05570501299325725,161552,151685,0.06107630979498857,163214,153371,0.06030732657737692,,1250973,2087477,0,1024
