Unnamed: 0,Unnamed: 1,January,Unnamed: 3,Unnamed: 4,February,Unnamed: 6,Unnamed: 7,March,Unnamed: 9,Unnamed: 10,April,Unnamed: 12,Unnamed: 13,May,Unnamed: 15,Unnamed: 16,June,Unnamed: 18,Unnamed: 19,July,Unnamed: 21,Unnamed: 22,August,Unnamed: 24,Unnamed: 25,September,Unnamed: 27,Unnamed: 28,October,Unnamed: 30,Unnamed: 31,November,Unnamed: 33,Unnamed: 34,December,Unnamed: 36,Unnamed: 37,Unnamed: 38,Accumulate for Year 2024,Unnamed: 40,Unnamed: 41,Unnamed: 42
Region,Cabin,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,,Total kWh,Sales kWh,Losses,Consumer
TBK-MM,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,12,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,01A,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,023A,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,043C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,64,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,102A,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,190,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,309,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,325A,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,328,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,355A,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,358C,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-MM,D56,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,FR,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,0
TBK-PK,K.MV01,0,381540,0,0,383750,0,0,390000,0,0,471592,0,0,460396,0,459811,459954,0,432545,432720,0,496332,496448,0,460700,460897,0,461656,461835,0,472741,472938,0,,,,,2783785,4872070,0,1
TBK-PK,K.MV02,0,40294,0,0,38044,0,0,18380,0,0,10976,0,0,18588,0,15836,17035,0,9552,14586,0,31730,36106,0,42031,42047,0,36180,36193,0,46214,46256,0,,,,,181543,318505,0,1
TBK-PK,K.MV03,0,91630,0,0,68796,0,0,42511,0,0,34128,0,0,45268,0,82172,82167,6.084797741323644e-05,71743,71731,0.00016726370516984002,81280,81286,0,67855,67850,7.36865374696416e-05,65067,65067,0,82096,82098,0,,,,,450213,732532,0,1
TBK-PK,K.MV04,0,27978,0,0,37183,0,0,65445,0,0,73264,0,0,88947,0,92671,92698,0,86515,86540,0,115901,115936,0,131664,131702,0,140392,140435,0,153959,154004,0,,,,,721102,1014132,0,1
TBK-PK,K.MV05,0,154259,0,0,163961,0,0,161355,0,0,189711,0,0,183820,0,179178,178926,0.0014064226634966648,160503,160276,0.0014143037824838611,181252,181010,0.0013351576810186616,169809,169614,0.001148349027436657,154653,154422,0.0014936664662179577,165427,165190,0.0014326560960423729,,,,,1010822,1862544,0,1
TBK-PK,K.MV06,0,76778,0,0,79597,0,0,80960,0,0,94517,0,0,90773,0,82790,83197,0,61400,61727,0,69839,70216,0,71500,71870,0,73638,74015,0,111719,112245,0,,,,,470886,895895,0,1
TBK-PK,K.MV07,0,46758,0,0,65118,0,0,121761,0,0,169998,0,0,167515,0,173825,174147,0,164534,164822,0,233458,233925,0,237678,238171,0,241352,241865,0,268572,269099,0,,,,,1319419,1893179,0,1
TBK-PK,K.MV08,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,0,0,,1
TBK-PK,K.MV09,0,189739,0,0,201576,0,0,186598,0,0,297941,0,0,253870,0,213161,216448,0,190253,193236,0,223066,226490,0,200676,203763,0,211919,215163,0,210857,214095,0,,,,,1249932,2398919,0,1
