Unnamed: 0,Unnamed: 1,January,Unnamed: 3,Unnamed: 4,February,Unnamed: 6,Unnamed: 7,March,Unnamed: 9,Unnamed: 10,April,Unnamed: 12,Unnamed: 13,May,Unnamed: 15,Unnamed: 16,June,Unnamed: 18,Unnamed: 19,July,Unnamed: 21,Unnamed: 22,August,Unnamed: 24,Unnamed: 25,September,Unnamed: 27,Unnamed: 28,October,Unnamed: 30,Unnamed: 31,November,Unnamed: 33,Unnamed: 34,December,Unnamed: 36,Unnamed: 37,Unnamed: 38,Accumulate for Year 2025,Unnamed: 40,Unnamed: 41,Unnamed: 42
Region,Cabin,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,Total kWh,Sales kWh,Losses,,Total kWh,Sales kWh,Losses,Consumer
KT-HQ,P001,36260,35085,0.032404853833425284,37261,36136,0.030192426397573913,39593,38298,0.03270780188417144,45098,43142,0.04337221162801008,47352,43410,0.083248859604663,42888,41478,0.032876329043089014,37526,36403,0.029925918030165755,40595,39233,0.033550929917477545,40576,39367,0.02979593848580442,38961,37726,0.03169836503169832,40239,38919,0.03280399612316409,38835,37651,0.030487961890047655,,485184,466848,0.03779184804115554,189
KT-SN,P001,33350,33080,0.008095952023988051,28636,28382,0.008869953904176553,34369,34010,0.010445459571125193,40173,39707,0.011599830732083705,39713,39342,0.009342029058494683,38467,38119,0.00904671536641799,38863,38481,0.009829400715333336,38249,37849,0.010457789746137203,34253,33939,0.009167080255743976,36215,35742,0.013060886373049807,34863,34654,0.005994894300547893,35701,35340,0.010111761575306022,,432852,428645,0.009719257390516822,116
KT-HQ,P002,18361,18154,0.011273895757311747,18546,18346,0.0107839965491211,21628,21381,0.01142038098760867,21597,21342,0.011807195443811591,22399,22147,0.01125050225456492,24569,24284,0.011599983719321139,21324,21091,0.010926655411742647,22733,22491,0.01064531738002028,23625,23346,0.011809523809523825,19097,18906,0.010001570927370751,21560,21339,0.01025046382189243,19039,18836,0.010662324701927628,,254478,251663,0.011061859964319076,91
KT-SN,P002,4879,4740,0.02848944455831115,4421,4326,0.02148835105179825,4703,4594,0.023176695726132235,4894,4783,0.022680833673886402,5661,5511,0.026497085320614677,5382,5216,0.03084355258268301,4862,4737,0.025709584533113894,5942,5722,0.037024570851565075,4544,4398,0.03213028169014087,6208,5848,0.0579896907216495,5864,5637,0.03871077762619368,5340,5127,0.039887640449438155,,62700,60639,0.03287081339712916,25
KT-HQ,P003,10323,10408,0,12656,12764,0,14147,14246,0,15122,15217,0,15578,15677,0,18796,18968,0,13671,13760,0,17231,17395,0,17352,17478,0,12051,12127,0,16348,16424,0,14038,14117,0,,177313,178581,0,50
KT-SN,P003,674,653,0.03115727002967361,464,453,0.023706896551724088,486,475,0.02263374485596703,522,509,0.02490421455938696,443,434,0.020316027088036148,409,400,0.022004889975550168,539,527,0.02226345083487946,701,687,0.0199714693295292,773,759,0.018111254851228997,690,679,0.01594202898550723,810,796,0.01728395061728394,678,666,0.017699115044247815,,7189,7038,0.021004312143552695,4
KT-HQ,P004,3363,3325,0.011299435028248594,2828,2799,0.010254596888260248,3233,3198,0.010825858335910876,4378,4323,0.012562814070351758,3872,3825,0.012138429752066138,4025,2818,0.2998757763975155,3163,4713,0,4224,4161,0.014914772727272707,3781,3732,0.012959534514678683,4263,4201,0.014543748533896284,4260,4200,0.014084507042253502,3314,3269,0.013578756789378366,,44704,44564,0.003131710808876198,8
KT-SN,P004,1361,1311,0.03673769287288753,1532,1478,0.03524804177545693,1253,1209,0.035115722266560234,1188,1153,0.02946127946127941,1355,1307,0.0354243542435424,1322,1287,0.02647503782148264,1145,1114,0.02707423580786028,1292,1256,0.02786377708978327,1310,1271,0.02977099236641223,1475,1433,0.028474576271186436,1506,1458,0.031872509960159334,1699,1651,0.028251912889935227,,16438,15928,0.031025672222898204,23
KT-HQ,P005,979,959,0.020429009193054126,1101,1082,0.01725703905540421,1240,1215,0.020161290322580627,1592,1561,0.019472361809045213,1332,1304,0.02102102102102099,1334,1313,0.015742128935532285,1049,1030,0.018112488083889433,1283,1259,0.0187061574434918,1189,1165,0.020185029436501245,1391,1363,0.020129403306973437,1442,1415,0.018723994452149784,1237,1214,0.018593371059013708,,15169,14880,0.019052013975871862,19
KT-SN,P005,14012,13764,0.017699115044247815,13331,13086,0.018378216187832863,14896,14583,0.02101235230934484,17836,17441,0.022146221125812993,17819,17428,0.021942869970256518,18189,17804,0.021166639177524926,17263,16885,0.021896541736662223,19733,19285,0.02270308620078043,18090,17668,0.023327805417357683,19302,18749,0.02864988084136355,21459,20885,0.026748683536045537,18403,17894,0.027658533934684537,,210333,205472,0.023110971649717316,41
KT-HQ,P006,25937,26394,0,26791,26828,0,32751,31659,0.03334249335898143,34656,33915,0.021381578947368474,34753,34107,0.01858832331021787,35412,34714,0.0197108324861629,30341,29595,0.02458719224811312,31916,31283,0.019833312445168616,32019,31737,0.008807270683031998,28902,28483,0.014497266625147054,33767,32992,0.02295140225664105,27222,26058,0.0427595327308794,,374467,367765,0.017897438225531248,79
KT-SN,P006,17337,16864,0.02728269020014995,16288,15816,0.028978388998035398,21466,20846,0.02888288456163235,25859,25148,0.027495262771182194,27585,26825,0.0275512053652347,25290,24550,0.02926057730328191,24073,23391,0.028330494745150148,25119,24404,0.028464508937457667,19684,19154,0.02692542166226375,17591,17100,0.02791200045477804,23271,22639,0.02715826565252888,20785,20240,0.026220832331007915,,264348,256977,0.027883698760724496,41
KT-HQ,P007,111339,109531,0.016238694437708312,115411,113763,0.014279401443536566,140679,137848,0.02012382800560142,147891,145074,0.019047812240095774,154055,151079,0.019317776118918606,152731,149822,0.019046558982786732,133600,131217,0.017836826347305434,145822,143293,0.01734306208939662,143954,141205,0.019096378009641923,131068,128742,0.017746513260292418,149502,147014,0.01664191783387514,119747,117519,0.018605894093380204,,1645799,1616107,0.018041085211499053,280
KT-SN,P007,51267,52659,0,6955,7698,0,88414,90410,0,38015,39134,0,69130,71358,0,45556,47641,0,22958,24676,0,61934,64422,0,71489,74153,0,117627,121239,0,20535,22129,0,20939,22626,0,,614819,638145,0,1
KT-HQ,P008,24352,24044,0.012647831800262854,23840,23544,0.01241610738255039,26206,25875,0.012630695260627323,30696,30795,0,36156,37457,0,36555,36063,0.013459171112022994,31734,31124,0.01922228524610825,33773,33275,0.014745506765759586,33984,33323,0.019450329566854996,30455,29939,0.016943030701034312,32851,32219,0.01923837934918271,28209,27560,0.023006841788081767,,368811,365218,0.009742117236199554,215
KT-SN,P008,38732,38190,0.013993597025715121,35102,34614,0.013902341746908964,42247,41623,0.014770279546476694,40816,40222,0.0145531164249314,43500,42832,0.015356321839080422,44783,44130,0.014581425987539864,39450,38870,0.01470215462610902,41628,41006,0.014941866051696007,40742,40115,0.01538952432379359,36470,35961,0.01395667672059231,40510,39896,0.015156751419402648,37357,36823,0.014294509730438776,,481337,474282,0.014657090562329556,202
KT-HQ,P009,56017,54856,0.020725851080921842,53426,52532,0.016733425672893376,56914,55690,0.021506132058895844,65019,63479,0.02368538427228961,79510,77727,0.02242485221984658,70347,68754,0.022644888907842553,68323,66895,0.020900721572530534,74285,72773,0.020354041865787154,68169,66704,0.02149070691956756,64303,63197,0.017199819604062028,70109,68677,0.020425337688456557,57209,56328,0.015399674876330649,,783631,767612,0.02044201926672118,211
KT-SN,P009,17159,16886,0.015910018066320863,15498,15281,0.014001806684733498,17182,16925,0.014957513677103962,18222,17907,0.017286796180441266,16511,16223,0.017442916843316558,16976,16655,0.018909048067860534,16810,16546,0.015704937537180275,16098,15805,0.01820101876009439,13990,13754,0.016869192280200118,13769,13579,0.01379911395163047,14244,14001,0.017059814658803685,16815,16523,0.017365447517097787,,193274,190085,0.016499891345964746,27
KT-HQ,P010,63000,61760,0.019682539682539635,64195,62806,0.021637199158813014,85769,83107,0.031036854807681147,95698,92671,0.031630755083700834,95529,92213,0.03471197228066869,95425,92519,0.030453235525281674,83339,80448,0.03468964110440487,92260,89343,0.03161716887058319,49728,87806,0,0,73226,0,63595,83829,0,76260,73962,0.030133752950432746,,864798,973690,0,119
KT-SN,P010,1279,1254,0.019546520719311955,1314,1291,0.017503805175038023,694,680,0.02017291066282423,424,412,0.028301886792452824,772,763,0.011658031088082943,1200,1184,0.013333333333333308,1538,1516,0.014304291287386195,957,937,0.020898641588296796,2780,2748,0.01151079136690647,2828,2787,0.014497878359264527,2044,2016,0.013698630136986356,1863,1836,0.01449275362318836,,17693,17424,0.015203752896625788,1
